Text,Number of Tokens,Rating out of 3,GPT Rating,GPT Explaination,Rating,Gan's Rating,Yimin's Rating
"Q: Is it true that there are two kinds of people serving as deputies of the Supreme Soviet of the USSR, as members of the Supreme Court, and as Soviet diplomats? A: Yes, it is true. One kind is those not capable of anything at all, and the other is those capable of anything whatsoever.",64,3,3,"This joke plays on the perceived incompetence and unscrupulous nature of Soviet officials. The humor comes from the paradox in the description of the two types of people, which criticizes the system in a subtle but clear manner",5,4,5
"Q: Why do we need two central newspapers, Pravda (Truth) and Izvestiya (News) if both are organs of the same Party? A: Because in Pravda there is no news, and in Izvestiya there is no truth.",54,3,3,This joke cleverly points out the lack of reliability and freedom in the press by playing with the literal meanings of the newspaper names 'Pravda' and 'Izvestiya' versus the content they actually provide. It's an insightful commentary on Soviet media control wrapped in a simple juxtaposition,5,5,4
"Q: What is the difference between the Constitutions of the USA and USSR? Both guarantee freedom of speech. A: Yes, and the US Constitution also guarantees freedom after speech.",36,3,3,"This joke is clever and highlights the profound difference in the practical application of freedoms between the two systems, playing on the notion of freedom being more respected in the USA than in the USSR",5,5,4
"Q: Can a son of a General become a Marshal? A: No, because every Marshal also has a son.",24,3,2,"This joke plays on the nepotism and hierarchy in the military, implying that positions are passed down by lineage rather than merit. It's a clever play on expectations, suggesting the cycle is unbreakable due to every higher-ranking official also having descendants",5,5,5
"Q: Why did you not broadcast for such a long time? A: We had to make some changes to our staff. The previous broadcaster, while reading an article that contained the words, ""Socialism is nothing as compared with communism,"" made a pause too long after the word ""nothing.""",59,2,2,"This joke plays with the idea that even the slightest implication of wrongdoing or nonconformity in the Soviet regime could have serious consequences, thus showcasing the absurd level of control over freedom of speech and thought. The humor is pretty straightforward and draws on the reality of the time",4,3,4
"Q: Does China have rockets powerful enough to reach the moon? A: They don't need rockets. If the Chinese communist Party ordered, their people just would step on each other's shoulders, and this way they could reach even the sun.",49,2,2,"This joke plays on the stereotype of Chinese collectivism and the authoritarian nature of command economies like the one present in China, where the government's power over people is exaggerated to a humorous extent.",3,3,2
"Q: Why do some people say that Hungarians love the Russians and hate the Americans? A: Because Russians helped Hungarians to get rid of one totalitarian rule, but Americans didn't help to get rid of the other.",45,2,2,"This joke is moderately funny as it critiques the complex historical relations between Hungary, the USSR, and the US, and taps into the nuanced perspective on liberation and intervention",4,4,3
"Q: Is it true that American skyscrapers are the tallest in the world? A: Yes, it's true, but on the other hand the Soviet-made transistors are the largest in the world.",43,2,2,"This joke has a humorous contrast between the pride associated with large structures and the technological inefficiency implied by oversized transistors, which should be small and compact",4,3,4
"Q: Are the bedbugs also builders of socialism? A: Of course, in their veins flows the workers-and-peasants' blood.",29,2,2,"This joke makes use of dark humor by implying that bedbugs, which are considered pests, are feasting on the blood of the working class, thus participating in the socialist state's collective goal. It's clever and carries a bite in its message.",4,5,2
"Q: Why Lenin wore regular shoes, but Stalin wore boots? A: At Lenin's time, Russia was still only ankle-high in shit.",29,2,2,"This joke employs dark humor, highlighting the perceived increase in severity of the Soviet regime from Lenin to Stalin, using the metaphor of ""shit"" to represent the troubles or oppression of the times. The joke is successful in delivering a punchline that connects historical context with a visual metaphor",3,4,2
