Text,Number of Tokens,Rating out of 3,GPT Rating,GPT Explaination,Rating,Gan's Rating,Yimin's Rating
"Q: Is it true that there are two kinds of people serving as deputies of the Supreme Soviet of the USSR, as members of the Supreme Court, and as Soviet diplomats? A: Yes, it is true. One kind is those not capable of anything at all, and the other is those capable of anything whatsoever.",64,3,2,"This joke highlights the perception of incompetence and unscrupulousness among Soviet officials, offering a cynical view of their abilities and moral flexibility. It’s a simple play on words with a touch of political satire",5,4,5
"Q: Why do we need two central newspapers, Pravda (Truth) and Izvestiya (News) if both are organs of the same Party? A: Because in Pravda there is no news, and in Izvestiya there is no truth.",54,3,3,"This joke cleverly plays on the meanings of the newspapers' names in Russian and the commonly perceived lack of credibility and freedom of the press in the Soviet Union, hinting at the propaganda and censorship practices of the time. The wordplay here is intelligent and humorously points out the absurdity of state-controlled media",5,5,4
"Q: What is the difference between the Constitutions of the USA and USSR? Both guarantee freedom of speech. A: Yes, and the US Constitution also guarantees freedom after speech.",36,3,3,"This joke cleverly contrasts the supposed similarities and the actual stark differences in the rights afforded to citizens by the two constitutions, with a punchline that succinctly encapsulates the repercussions of free speech in the USSR as opposed to the USA",5,5,4
"Q: Can a son of a General become a Marshal? A: No, because every Marshal also has a son.",24,3,2,"This joke plays on the idea of nepotism and bureaucratic stagnation, implying that positions are determined by lineage rather than merit. It uses irony to highlight the perceived unfairness in military promotions",5,5,5
"Q: Why did you not broadcast for such a long time? A: We had to make some changes to our staff. The previous broadcaster, while reading an article that contained the words, ""Socialism is nothing as compared with communism,"" made a pause too long after the word ""nothing.""",59,2,2,"This joke presents humor through the idea of extreme political correctness and the consequences of even slight misinterpretation under a highly authoritarian regime. The implication is that even a small pause could be seen as subversive or critical of the regime, leading to replacing the staff. The joke is cleverly structured to reveal the punchline, which is both ironic and sad, reflecting the reality of the time",4,3,4
"Q: Does China have rockets powerful enough to reach the moon? A: They don't need rockets. If the Chinese communist Party ordered, their people just would step on each other's shoulders, and this way they could reach even the sun.",49,2,2,"This joke relies on an exaggerated portrayal of the Chinese ability to mobilize its massive population towards a collective task, poking fun at the obedience of people under a communist regime",3,3,2
"Q: Why do some people say that Hungarians love the Russians and hate the Americans? A: Because Russians helped Hungarians to get rid of one totalitarian rule, but Americans didn't help to get rid of the other.",45,2,2,"This joke is somewhat funny, as it is based on historical context and plays on the irony of liberation and occupation. It conveys the complex sentiment some Hungarians might have felt towards their ""liberators"" who ended one form of oppression only to replace it with another. The punchline criticizes both the Soviet intervention and the lack of American help, which might resonate with those familiar with the events of the Hungarian Revolution of 1956",4,4,3
"Q: Is it true that American skyscrapers are the tallest in the world? A: Yes, it's true, but on the other hand the Soviet-made transistors are the largest in the world.",43,2,2,"This joke plays on the competitive nature between the US and Soviet Union, highlighting the technological race but with a humorous twist on the supposed Soviet achievement – making fun of their technological products being outdated or oversized, which is subtly humorous",4,3,4
"Q: Are the bedbugs also builders of socialism? A: Of course, in their veins flows the workers-and-peasants' blood.",29,2,1,"The joke here uses a play on words, connecting the parasitic nature of bedbugs with the workers' and peasants' blood as a metaphor for the exploitation in the socialist system. Though it may resonate with those familiar with socialist rhetoric, it's quite macabre and could be seen as less amusing because of the negative connotation of bloodsucking insects",4,5,2
"Q: Why Lenin wore regular shoes, but Stalin wore boots? A: At Lenin's time, Russia was still only ankle-high in shit.",29,2,2,"This joke makes a satirical comparison between the times of Lenin and Stalin, using hyperbole to emphasize the deepening of problems or oppression in the Soviet era. The humor comes from the visual metaphor suggesting the ""deepening"" of the country's troubles.",3,4,2
