Text,Number of Tokens,Rating out of 3,GPT Rating,GPT Explaination,Rating,Gan's Rating,Yimin's Rating
"Q: Is it true that there are two kinds of people serving as deputies of the Supreme Soviet of the USSR, as members of the Supreme Court, and as Soviet diplomats? A: Yes, it is true. One kind is those not capable of anything at all, and the other is those capable of anything whatsoever.",64,3,2,"The joke plays on the perceived range of competency and morality within Soviet officialdom, framing the two extremes in a way that highlights the perceived lack of integrity or capability. It's a subtle dig at government inefficiency and corruption",5,4,5
"Q: Why do we need two central newspapers, Pravda (Truth) and Izvestiya (News) if both are organs of the same Party? A: Because in Pravda there is no news, and in Izvestiya there is no truth.",54,3,3,"This joke makes clever use of the literal meanings of the newspapers' names to satirize state-controlled media under the Soviet regime, highlighting the lack of reliable information and the propaganda in official publications",5,5,4
"Q: What is the difference between the Constitutions of the USA and USSR? Both guarantee freedom of speech. A: Yes, and the US Constitution also guarantees freedom after speech.",36,3,3,"This joke highlights the contrast between the theoretical rights offered by the Soviet system and the actual civil liberties experienced under it. The punchline emphasizes the lack of freedom following the expression of one's opinion in the USSR, a clever twist on the concept of free speech",5,5,4
"Q: Can a son of a General become a Marshal? A: No, because every Marshal also has a son.",24,3,2,This joke satirically critiques the nepotism and hierarchical structure within the Soviet military—implying that positions of power are inherited rather than earned. It uses irony to highlight an absurdity,5,5,5
"Q: Why did you not broadcast for such a long time? A: We had to make some changes to our staff. The previous broadcaster, while reading an article that contained the words, ""Socialism is nothing as compared with communism,"" made a pause too long after the word ""nothing.""",59,2,3,"This joke is funny because it plays on the culture of fear and censorship in the Soviet Union, where even a small mistake or misinterpretation in a public forum like broadcasting could be considered subversive or a political statement",4,3,4
"Q: Does China have rockets powerful enough to reach the moon? A: They don't need rockets. If the Chinese communist Party ordered, their people just would step on each other's shoulders, and this way they could reach even the sun.",49,2,2,"This joke relies on exaggerating the large population and the obedience to authority in Communist China for a hyperbolic and amusing effect. It offers a light-hearted take on the lengths to which collective effort under a single command could theoretically go. However, some might find it perpetuates national stereotypes or is insensitive",3,3,2
"Q: Why do some people say that Hungarians love the Russians and hate the Americans? A: Because Russians helped Hungarians to get rid of one totalitarian rule, but Americans didn't help to get rid of the other.",45,2,2,"This joke plays on historical events and the perspective that Russia (as part of the Soviet Union) 'liberated' Hungary from Nazi occupation only to impose its own Communist rule. It's a dark humor that reflects on the dissatisfaction with both superpowers for different reasons, so it might be appreciated for its irony, but it also touches upon sensitive historical issues, which may not be universally funny.",4,4,3
"Q: Is it true that American skyscrapers are the tallest in the world? A: Yes, it's true, but on the other hand the Soviet-made transistors are the largest in the world.",43,2,2,"This joke pokes fun at the idea of Soviet inefficiency and technological backwardness in comparison to the United States by turning the idea of ""the biggest"" on its head—bragging about having the largest transistors, which are normally valued for their small size, is ironically humorous",4,3,4
"Q: Are the bedbugs also builders of socialism? A: Of course, in their veins flows the workers-and-peasants' blood.",29,2,2,"This joke pokes fun at the socialist ethos of everyone contributing to the state by implying even pests like bedbugs are part of the system, as they feed off the blood of the common workers and peasants. The humor comes from the wordplay and the absurd notion of insects participating in the political ideology",4,5,2
"Q: Why Lenin wore regular shoes, but Stalin wore boots? A: At Lenin's time, Russia was still only ankle-high in shit.",29,2,3,This joke harshly satirizes the progression of Soviet leadership and implies a metaphorical deepening of troubles from Lenin's era to Stalin's. It uses shock value and dark humor relevant to historical context,3,4,2
