Text,Number of Tokens,Rating out of 3,GPT Rating,GPT Explaination,Rating,Gan's Rating,Yimin's Rating
"Q: Is it true that there are two kinds of people serving as deputies of the Supreme Soviet of the USSR, as members of the Supreme Court, and as Soviet diplomats? A: Yes, it is true. One kind is those not capable of anything at all, and the other is those capable of anything whatsoever.",64,3,2,The joke reflects the cynicism and distrust in the capabilities and morality of the Soviet political and legal systems by categorizing officials into either utterly incompetent or unscrupulously opportunistic. The contrast is humorous because it plays on the extremes without a middle ground. ,5,4,5
"Q: Why do we need two central newspapers, Pravda (Truth) and Izvestiya (News) if both are organs of the same Party? A: Because in Pravda there is no news, and in Izvestiya there is no truth.",54,3,3,"This joke is clever as it plays on the ironic meaning of the names of the two newspapers and the reality of state-controlled media in the Soviet Union, highlighting the lack of true news in the ""News"" paper and the absence of truth in the ""Truth"" paper. It uses wordplay and irony effectively.",5,5,4
"Q: What is the difference between the Constitutions of the USA and USSR? Both guarantee freedom of speech. A: Yes, and the US Constitution also guarantees freedom after speech.",36,3,3,"This joke plays on the contrast between the theoretical rights offered in the USSR and the actual lack thereof once exercised, which is a clever and pointed observation of political realities. It draws humor from the ironic twist that implies real consequences for exercising free speech in the USSR. ",5,5,4
"Q: Can a son of a General become a Marshal? A: No, because every Marshal also has a son.",24,3,2,"The joke plays on the nepotism and hierarchy in the Soviet military structure, implying that positions are inherited rather than earned. It's a light play on words and position titles, making it modestly funny.",5,5,5
"Q: Why did you not broadcast for such a long time? A: We had to make some changes to our staff. The previous broadcaster, while reading an article that contained the words, ""Socialism is nothing as compared with communism,"" made a pause too long after the word ""nothing.""",59,2,3,"This joke is humorous because it hints at the oppressive nature of censorship in Soviet times, where even a slight misinterpretation or pause in speech could lead to grave consequences for the speaker. It also plays on the sensitivity surrounding the ideology and the fears associated with it.",4,3,4
"Q: Does China have rockets powerful enough to reach the moon? A: They don't need rockets. If the Chinese communist Party ordered, their people just would step on each other's shoulders, and this way they could reach even the sun.",49,2,2,"This joke plays on the stereotypical view of China's large population and the strong control exerted by the Communist Party, with an exaggerated and humorous image of people stacking up to reach celestial bodies. It could be seen as funny due to the absurdity of the imagery.",3,3,2
"Q: Why do some people say that Hungarians love the Russians and hate the Americans? A: Because Russians helped Hungarians to get rid of one totalitarian rule, but Americans didn't help to get rid of the other.",45,2,2,"The joke makes a satirical comment on the historical context of Soviet influence in Hungary, ironically insinuating that the Russians provided aid, but in a way that simply shifted the type of oppressive regime rather than leading to true freedom. The humor lies in the bitter irony and the political commentary. However, it might not be immediately funny for someone who does not have knowledge of the historical events.",4,4,3
"Q: Is it true that American skyscrapers are the tallest in the world? A: Yes, it's true, but on the other hand the Soviet-made transistors are the largest in the world.",43,2,2,"This joke plays on the contrast between American and Soviet achievements, poking fun at the unintended inefficiencies or shortcomings of Soviet technology. The humor comes from the ironic juxtaposition of 'tallest' and 'largest' in contexts where these attributes are desired for different reasons.",4,3,4
"Q: Are the bedbugs also builders of socialism? A: Of course, in their veins flows the workers-and-peasants' blood.",29,2,2,"This joke uses dark humor by suggesting that even the bedbugs participate in building socialism, a reference that mocks the idea of everyone contributing to the collective good in a socialist state. However, the punchline implies that the blood they suck is from the very workers and peasants they're supposed to be helping, which can be seen as a sardonic commentary on the exploitation of the common people.",4,5,2
"Q: Why Lenin wore regular shoes, but Stalin wore boots? A: At Lenin's time, Russia was still only ankle-high in shit.",29,2,2,"This joke uses dark humor and historical perspective to make a satirical point about the deepening problems of Russia at different points in its history, comparing the severity of issues during Lenin's and Stalin's times through the metaphor of shoes and boots representing the depth of troubles.",3,4,2
