Text,Number of Tokens,Rating out of 3,GPT Rating,GPT Explaination,Rating,Gan's Rating,Yimin's Rating
"Q: Is it true that there are two kinds of people serving as deputies of the Supreme Soviet of the USSR, as members of the Supreme Court, and as Soviet diplomats? A: Yes, it is true. One kind is those not capable of anything at all, and the other is those capable of anything whatsoever.",64,3,2,"This joke plays on the perception that people in high political positions may be either completely ineffectual or unscrupulously capable of anything for personal gain, which is broadly accessible and has a satirical bite",5,4,5
"Q: Why do we need two central newspapers, Pravda (Truth) and Izvestiya (News) if both are organs of the same Party? A: Because in Pravda there is no news, and in Izvestiya there is no truth.",54,3,3,"This joke cleverly plays on the literal meanings of the Soviet newspapers' names in a way that highlights the perceived dishonesty and lack of freedom in the press, offering a satirical take on state-controlled media",5,5,4
"Q: What is the difference between the Constitutions of the USA and USSR? Both guarantee freedom of speech. A: Yes, and the US Constitution also guarantees freedom after speech.",36,3,3,"This joke is very funny because it succinctly contrasts the theoretical similarities and practical differences between the freedoms in the USA and USSR, highlighting the lack of actual freedom in the Soviet system",5,5,4
"Q: Can a son of a General become a Marshal? A: No, because every Marshal also has a son.",24,3,2,"This joke pokes fun at the nepotism that can be found in hierarchical systems, with a sardonic twist, by suggesting that positions of power will always be occupied by the progeny of those currently in power, rather than by merit. Its humor lies in the absurdity of the implied inheritance of military ranks",5,5,5
"Q: Why did you not broadcast for such a long time? A: We had to make some changes to our staff. The previous broadcaster, while reading an article that contained the words, ""Socialism is nothing as compared with communism,"" made a pause too long after the word ""nothing.""",59,2,2,"This joke is somewhat funny, as it takes a jab at the excessive control and censorship within the Soviet Union, implying that even a small pause could be deemed subversive",4,3,4
"Q: Does China have rockets powerful enough to reach the moon? A: They don't need rockets. If the Chinese communist Party ordered, their people just would step on each other's shoulders, and this way they could reach even the sun.",49,2,2,This joke uses absurdity and exaggeration to make a sarcastic point about the perceived power of the Chinese Communist Party over its people. The notion of stacking individuals to reach celestial bodies is a humorous image that also critiques forced collective efforts. It’s a play on the idea that authoritarian governments can bend reality to their will through sheer force of numbers and obedience. It is moderately funny for someone who understands the political context.,3,3,2
"Q: Why do some people say that Hungarians love the Russians and hate the Americans? A: Because Russians helped Hungarians to get rid of one totalitarian rule, but Americans didn't help to get rid of the other.",45,2,2,"This joke attempts humor through historical reference, suggesting irony in the supposed affection for Russians over Americans due to their role in Hungarian history. The humor is derived from the unexpected twist that Russians are appreciated for ending one oppressive regime, implying they installed another. The joke might fall flat due to the sensitivity of historical events and may not appeal to everyone. It elicits a mild response due to the realization of the twist.",4,4,3
"Q: Is it true that American skyscrapers are the tallest in the world? A: Yes, it's true, but on the other hand the Soviet-made transistors are the largest in the world.",43,2,2,"This joke draws a humorous contrast between the American achievement of building tall skyscrapers and the unintended Soviet 'achievement' of producing comically large transistors, which goes against the purpose of electronics miniaturization. The humor comes from the unexpected comparison and the poke at inefficient Soviet industry",4,3,4
"Q: Are the bedbugs also builders of socialism? A: Of course, in their veins flows the workers-and-peasants' blood.",29,2,2,"This joke uses irony to critique the socialist system by suggesting that even pests like bedbugs participate in the collective effort, humorously claiming they contain the blood of the proletariat. This adds a layer of dark humor to the joke",4,5,2
"Q: Why Lenin wore regular shoes, but Stalin wore boots? A: At Lenin's time, Russia was still only ankle-high in shit.",29,2,2,"This joke uses dark humor to comment on the worsening conditions and increased oppression under Stalin's rule compared to Lenin's time, comparing the metaphorical depth of 'shit' the country was in with the footwear of its leaders. It might not be to everyone's taste due to its grim imagery, but it does have a clever, historical twist",3,4,2
"Q: When the elections were first held using the Soviet method? A: When Adam was electing his wife, and Eve her husband.",28,2,2,"This joke has a subtle humor, making a connection between the lack of choice in the Soviet electoral system and a mythical time where there were supposedly no alternatives. It's a clever way of highlighting the absence of real democratic elections using an analogy",3,3,3
"Q: What is the easiest way to explain the meaning of the word ""communism?"" A: By means of fists.",26,2,2,This joke uses dark humor referring to the enforcement of communist ideology through force or coercion. The funniness comes from the unexpected twist of explaining an ideology through violence rather than philosophical discourse,4,5,2
"Q: Is it possible to build communism in America? A: It's possible, but who will we buy grain from?",25,2,2,"This joke plays on the economic challenges faced by the Soviet Union, where it was famously known for buying grain from other countries, such as the United States, despite its claims of agricultural success. The irony here is amusing and reflects reality with a humorous twist",3,4,2
Q: is it possible to solve a problem which has no solution? A: We don't answer questions related to agriculture.,25,2,2,"This joke plays on the trope of Soviet-era avoidance of uncomfortable topics by misdirection, and using the classic deflection to a seemingly unrelated field like agriculture, which was itself full of problems during that time. It's subtle and witty.",3,2,4
Q: Why the answers of Armenian Radio are often stupid? A: Because these answers are invented not by Armenians.,24,2,1,"This joke plays on self-depreciation and an ironic twist which reflects a light-hearted national pride, but it may not resonate as strongly with those unfamiliar with Armenian Radio jokes",3,2,3
Q: What is the greatest achievement of Soviet agriculture? A: Sowing in the USSR and harvesting in America.,23,2,3,This joke makes a clever point about the perceived inefficiency of Soviet agriculture while playing on the concept of international relations and trade deficits in a humorous way,3,4,1
"Q: Is there life on other planets? A: On other planets, there is also no life.",21,2,1,"This joke plays on the grim humor regarding the quality of life, suggesting that life under a certain regime is as devoid of joy as a lifeless planet. The humor comes from the exaggeration and the bleak outlook. However, it is quite subtle and might not immediately click with everyone",4,3,4
"Q: Will people have money when communism is built? A: Some will, some will not.",20,2,1,"This joke plays on the notion of inequality that's supposed to be absent in an ideal communist society, thereby highlighting an intrinsic contradiction and evoking a wry sense of realism. However, it lacks punch and might be too subtle for some audiences",3,2,3
"Q: Under communism will we still have money? A: No, none of that either.",19,2,1,"This joke attempts humor by referencing the common stereotype regarding scarcity and lack of personal wealth in communist societies. The punchline is a bit anticlimactic and doesn't possess a strong twist, as it reaffirms what is already a known trope rather than subverting expectations",3,1,5
Q: What is chaos? A: We do not comment on national economics.,16,2,2,"This joke has a clever twist by equating the concept of chaos with the state of national economics, which is a humorous criticism of the economic situation. It's wittily indirect and provides a chuckle",4,3,4
"Q: In our factory's mess hall, the tea is not sweet at all, while the mess manager says he puts sugar according to the prescribed dose. What shall we do? A: Try to stir your tea counterclockwise rather than clockwise.",51,1,2,"This joke plays on the absurdity and bureaucratic processes in the Soviet Union, suggesting a nonsensical solution to a problem that's probably due to corruption or mismanagement. It may not provoke a strong laugh, but it has a certain wry humor to it",2,2,1
Q: Are there men who do not cheat on their wives when they are on prolonged business trips? A: Of course. Soviet cosmonauts and American astronauts.,34,1,2,"This joke has a clever twist by turning a general question about fidelity into a commentary on the lengthy missions of space travelers, where the opportunity to cheat is literally out of this world.",2,1,3
"Q: What is Sholokhov writing now? A: A crime novel titled ""How I Received the Nobel Prize in Literature.""",28,1,2,"This joke pokes fun at the controversy surrounding Mikhail Sholokhov, who was awarded the Nobel Prize in Literature, with rumors suggesting he might not have written all the works himself. It plays on skepticism towards official achievements",2,2,1
Q: Is it possible in a socialist country to end up under a train? A: Easier than on a train.,25,1,2,"This joke uses irony to critique the inefficiencies and shortages characteristic of socialist countries, particularly in public transportation where it is humorously implied that it's more likely for one to meet an unfortunate accident than to successfully board a train",2,2,2
Q: What is cosmopolitan? A: Cosmonaut's deputy in political affairs.,18,1,1,"This joke plays on the word ""cosmopolitan,"" twisting its meaning to connect it to ""cosmonaut,"" which is a clever wordplay, but might not be understood without knowledge of Soviet-era political terminology and roles. The subtlety might limit its humor for a wider audience",2,2,2
Q: When did kennedy get elected? A: John F. Kennedy 1961 presidential inauguration.,21,0,0,"This is not a joke, but rather a factual statement regarding historical events",0,0,0
Q: Who was the leader of the ussr in 1948? A: Joseph Stalin.,20,0,0,This is not a joke at all,0,0,0
Q: What is the national anthem of russia? A: National Anthem of Russia.,18,0,0,This is not a joke but rather a straightforward answer providing factual information,0,0,0
Q: What else is there in orlando besides disney? A: Baldwin Park.,18,0,0,"This attempt at humor seems to rely on an expectation of a punchline related to the famous attractions of Orlando, contrasting them with Baldwin Park, which is relatively mundane. The joke lacks a strong punchline or absurdity that would elicit a chuckle, especially in a Russian political context",0,0,0
Q: What war was george washington associated with? A: American Revolutionary War.,17,0,0,This is not a joke at all,0,0,0
